lit153,0
socio145,0
kas1,0
chem34,0
hist154,0
ba184.1,0
cd127,0
fish317,0
fish202,0
ph121,0
math190,0
ph166,0
ba115,0
fish320,0
cms136,0
mbb1,0
zoo111,0
mcb202,0
stat145,0
cmsc11,0
chem16,0
ce21,0
physics74,0
physics71.1,0
polsci180,0
stat142,0
cms131,0
fish167,0
mgt121,0
fish254,0
ba101,0
fish237,0
pe2,1
pm101,0
ens110,0
socsci26,0
cmsc123,0
cd147,0
fish125,0
socio10,0
ms41,0
chem145,0
ocean243,0
fish222,0
hiligaynon10,0
che122,0
che173,0
ocean275,0
ocean245,0
es1,0
ph196,0
ft151,0
natsci2,0
polsci185,0
fish198-ifpt,0
ba128,0
physics73,0
fish159,0
panpil17,0
ft100,0
ba171,0
ba178,0
psych110,0
ba161,0
ba120.2,0
cms113,0
hist110,0
fish196,0
ba187,0
cd135,0
cms200,0
zoo111.1,0
socio140,0
ft190,0
lit170,0
polsci170,0
bio150,0
cd168,0
fish180,0
cmsc141,0
eng11,0
math54,0
chem28.1,0
polsci162,0
zoo10,0
cms104,0
cms112,0
physics76,0
theatre10,0
lit199.1,0
lit183,0
chem126,0
ba176,0
fish319,0
psych199.1,0
ocean300,0
ilp220,0
ba174,0
bio160,0
ba104,0
ocean277,0
fish160,0
p201,0
hum1,0
polsci192,0
pe3,0
math55,1
che126,0
ms298,0
fish244,0
ba118.1,0
bot10,0
zoo131,0
hist114,0
fish118,0
cms144,0
bot111,0
chem40,0
chem33.1,0
cd122,0
che197,0
filipino11b,0
fish115,0
ft131,0
fish300(fb),0
fish200(ia),0
ba125,0
chem145.1,0
socio114,0
zoo102,0
hist107,0
cd199.2,0
fish104,0
aquasci1,0
mgt162,0
cd101,0
socialscience11b,0
ilp207,0
empoweringtech.11,0
cd110,0
p210,0
hist101,0
fish117,0
chem189,0
cd141,0
ft141,0
econ151,0
fish219,0
mgt191,0
cmsc129,0
cmsc152,2
fish133,0
socio195,0
comm2,0
fish225,0
mgt101,0
socio129,0
cl194,0
lit2,0
chem116,0
ilp209,0
cmsc21,0
econ196,0
stat149,0
fish300(ia),0
zoo131.1,0
polsci190,0
ilp204,0
es21,0
earthandlifescience11,0
fish134,0
ms31,0
ph161,0
fish203,0
fish171,0
cmsc128,0
ba114.2,0
che32,0
bio250,0
cd166,0
hist102,0
psych140,0
ph152,0
fish239,0
socio122,0
cms110,0
comm3,0
ms255,0
lit1,1
che141,0
physicalscience11,0
ocean299,0
fish200(ifpds),0
mgt190,0
che190,0
socio102,0
cmsc127,0
fish227,0
ba173,0
management11,0
math152,0
ocean210,0
lit150,0
che134,0
lit141,0
bio180,0
fish111,0
math14,0
econ101,0
eng10,0
chem200,0
bio140.1,0
che135,0
fish124,0
cms198,0
socio160,0
chem34.1,0
ft123,0
ba172,0
stat130,0
psych186,0
fish229,0
econ102,0
fish207,0
chem40.1,0
bio120,0
