courseName, type
math17, core
cmsc11, core
socsci10, ge(ssp)
comm1, ge(ah)
envisci10, ge(mst)
pe1, service
rotc1, nstp
math100, core
cmsc21, core
cmsc56, core
hist1, ge(ssp)
comm2, ge(ah)
bowling, pe
physics51, core
physics51.1, core
cmsc22, core
cmsc57, core
comm3, ge(ah)
eng2, ge(ah)
bio1, ge(mst)
basketballwomen, pe
cmsc123, core
cmsc130, core
physics52, core
physics52.1, core
psych10, ge(ssp)
badminton, pe
tabletennis, pe
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
stat105, core
bio20, ge(mst)
cmsc124, core
cmsc125, core
cmsc132, core
cmsc129, core
cmsc126, core
eng10, service
cmsc195, core
cmsc142, core
cmsc137, core
econ11, service
cmsc192, core
cmsc198.1, core
cmsc151, core
socsci26, ge(ssp)
