courseName, type
math17, core
cmsc11, core
pe1, service
aquasci1, ge(mst)
cwts1, nstp
math100, core
cmsc21, core
cmsc56, core
hist1, ge(ssp)
hist2, ge(ssp)
hum1, ge(ah)
camping, pe
cwts2, nstp
physics51, core
physics51.1, core
cmsc22, core
cmsc57, core
psych10, ge(ssp)
comm2, ge(ah)
bio20, ge(mst)
tabletennis, pe
cmsc123, core
cmsc130, core
physics52, core
physics52.1, core
socsci2, ge(ssp)
lit3, ge(ah)
sts40, ge(mst)
badminton, pe
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
stat105, core
natsci2, ge(mst)
cmsc124, core
cmsc125, core
cmsc132, core
cmsc129, core
cmsc126, core
eng10, service
cmsc195, core
cmsc142, core
cmsc137, core
cmsc162, elective
cmsc192, core
cmsc198.1, core
cmsc151, elective
socsci26, ge(ssp)
