2016-2017,2,BA 118.2,Iloilo City,Lec,PA 2,2,M T Th F,11:30-1:00,6,26,"CORDA-PRADO,M",
2016-2017,1,BA 119,Iloilo City,Lec,PA 3,2,T F,7:00-8:30,3,30,"VIRGO,M",
2016-2017,1,BA 119,Iloilo City,Lec,PA 1,1,T F,8:30-10:00,3,30,"VIRGO,M",
2016-2017,2,BA 120.1,Iloilo City,Lec,PA 1,2,T F,2:30-4:00,3,26,"HONORARIO,C",
2016-2017,2,BA 120.1,Iloilo City,Lec,PA 1,1,T F,1:00-2:30,3,28,"HONORARIO,C",
2016-2017,1,BA 120.2,Iloilo City,Lec,LT Annex,2,M T Th F,10:00-11:30,6,31,"HONORARIO,C",
2016-2017,1,BA 120.2,Iloilo City,Lec,LT Annex,1,M T Th F,8:30-10:00,6,30,"PANAGUITON,K",
2016-2017,1,BA 122,Iloilo City,Lec,LT Annex,1,M Th,5:30-7:00,3,30,"DOCTORA,R",
2016-2017,1,BA 122,Iloilo City,Lec,LT Annex,2,T F,5:30-7:00,3,30,"DOCTORA,R",
2016-2017,1,BA 125,Iloilo City,Lec/Lab,CL1,1,W,1:00-6:00,3,18,"HORTILLO,J / PAKES,U",
2016-2017,1,BA 125,Iloilo City,Lec/Lab,CL 2,2,M Th,10:00-12:30,3,18,"GO,M",
2016-2017,1,BA 125,Iloilo City,Lec/Lab,CL 2,3,W,1:00-6:00,3,18,"GO,M",
2016-2017,1,BA 127,Iloilo City,Lec,PA 1,2,T F,7:00-8:30,3,27,"MILLAN,S",
2016-2017,1,BA 127,Iloilo City,Lec,PA 1,1,M Th,10:00-11:30,3,27,"TAGAMOLILA,R",
2016-2017,2,BA 128,Iloilo City,Lec,PA 3,1,M Th,11:30-1:00,3,25,"TAGAMOLILA,R",
2016-2017,2,BA 128,Iloilo City,Lec,PA 2,2,T F,7:00-8:30,3,26,"MILLAN,S",
2016-2017,2,BA 129,Iloilo City,Lec,PA 2,2,M Th,2:30-4:00,3,34,"CORDA-PRADO,M",
2016-2017,2,BA 129,Iloilo City,Lec,PA 1,1,T F,8:30-10:00,3,34,"CORDA-PRADO,M",
2016-2017,1,BA 141,Iloilo City,Lec,PA 3,1,T F,1:00-2:30,3,25,"BARRIDO,A",
2016-2017,1,BA 141,Iloilo City,Lec,CM 1,2,M Th,10:00-11:30,3,25,"GUMBAN,M",
2016-2017,1,BA 141,Iloilo City,Lec,PA 3,3,T F,8:30-10:00,3,29,"BARRIDO,A",
2016-2017,2,BA 141,Iloilo City,Lec,CM 1,1,M Th,1:00-2:30,3,25,"GUMBAN,M",
2016-2017,2,BA 141,Iloilo City,Lec,LT Annex,2,T F,8:30-10:00,3,25,"PANAGUITON,K",
2016-2017,1,BA 142,Iloilo City,Lec,PA 2,2,T F,7:00-8:30,3,31,"BARRIDO,A",
2016-2017,1,BA 142,Iloilo City,Lec,CM 1,1,M Th,2:30-4:00,3,30,"GUMBAN,M",
2016-2017,2,BA 142,Iloilo City,Lec,CM 1,2,T F,1:00-2:30,3,33,"BARRIDO,A",
2016-2017,2,BA 142,Iloilo City,Lec,CM 1,1,M Th,2:30-4:00,3,30,"GUMBAN,M",
2016-2017,2,BA 142,Iloilo City,Lec,CM 1,3,T F,11:30-1:00,3,29,"PALACIOS,M / TAN,R",
2016-2017,2,BA 145,Iloilo City,Lec,PA 3,2,T F,8:30-10:00,3,34,"BARRIDO,A",
2016-2017,2,BA 145,Iloilo City,Lec,PA 1,1,T F,7:00-8:30,3,34,"BARRIDO,A",
2016-2017,2,BA 145,Iloilo City,Lec,LT Annex,3,M Th,10:00-11:30,3,36,"BARRIDO,A",
2016-2017,2,BA 145,Iloilo City,Lec,HB 2,4,M Th,11:30-1:00,3,38,"BARRIDO,A",
2016-2017,1,BA 161,Iloilo City,Lec,PA 1,2,M Th,5:30-7:00,3,34,"ENDONILA,A",
