courseName, type
aquasci1, ge(mst)
cmsc11, core
comm1, ge(ah)
math17, core
rotc1, nstp
pe1, service
socsci10, ge(ssp)
aquasci16, ge(mst)
cmsc21, core
cmsc56, core
comm2, ge(ah)
math100, core
rotc2, nstp
tabletennis, pe
socsci5, ge(ssp)
bio1, ge(mst)
cmsc22, core
cmsc57, core
hist2, ge(ssp)
hum1, ge(ah)
physics51, core
physics51.1, core
cmsc123, core
cmsc130, core
comm3, ge(ah)
physics52, core
physics52.1, core
sts40, ge(mst)
cmsc127, core
cmsc128, core
cmsc131, core
cmsc141, core
psych10, ge(ssp)
stat105, core
cmsc124, core
cmsc125, core
cmsc126, core
cmsc129, core
cmsc132, core
eng10, service
badminton, pe
cmsc195, core
cmsc137, core
cmsc142, core
cmsc151, elective
cmsc192, core
cmsc198.1, core
econ11, elective
pi100, service
