2016-2017,1,Soc Sci 26,Miagao,Lec,AV 104,3,M Th,7:00-8:30,3,41,"FERNANDEZ,P",ge(ssp)
2016-2017,1,Soc Sci 26,Iloilo City,Lec,GCEB32A,2,M Th,10:00-11:30,3,35,"ESPIA,J",ge(ssp)
2016-2017,1,Soc Sci 26,Iloilo City,Lec,GCEB32B,1,M Th,1:00-2:30,3,35,"ESPIA,J",ge(ssp)
2016-2017,2,Soc Sci 26,Miagao,Lec,R205,1,T F,10:00-11:30,3,35,"FERNANDEZ,P",ge(ssp)
2016-2017,1,Soc Sci 5,Iloilo City,Lec,GCEB32B,1,T F,1:00-2:30,3,35,"REDISON,F",ge(ssp)
2016-2017,1,Soc Sci 5,Iloilo City,Lec,GCEB32B,2,T F,11:30-1:00,3,35,"REDISON,F",ge(ssp)
2016-2017,1,Soc Sci 5,Miagao,Lec,AV 105,4,T F,10:00-11:30,3,37,"ARCALA HALL,R",ge(ssp)
2016-2017,1,Soc Sci 5,Iloilo City,Lec,GCEB32A,3,M Th,8:30-10:00,3,35,"ARCALA HALL,R",ge(ssp)
2016-2017,2,Soc Sci 5,Miagao,Lec,AV 104,3,M Th,8:30-10:00,3,37,"BADAYOS-JOVER,M",ge(ssp)
2016-2017,2,Soc Sci 5,Miagao,Lec,R108,1,M Th,11:30-1:00,3,37,"BADAYOS-JOVER,M",ge(ssp)
2016-2017,2,Soc Sci 5,Miagao,Lec,R107,2,M Th,8:30-10:00,3,35,"ARCALA HALL,R",ge(ssp)
