courseName, type
hist1, ge(ah)
hum1, ge(ah)
math53, core
natsci2, ge(mst)
cwts2, nstp
lawntennis, pe
stat117, core
envisci10, ge(mst)
hist2, ge(ssp)
lit2, ge(ah)
math114, core
math55, core
socialrecreation, pe
stat122, core
math178, core
stat130, core
stat141, core
stat145, core
stat149, core
stat174, core
comm2, ge(ah)
math153, core
math54, core
basketballwomen, pe
socsci2, ge(ssp)
stat121, core
bio20, ge(mst)
stat129, core
stat132, core
stat140, core
stat197, core
comm1, ge(ah)
math17, core
cwts1, nstp
pe1, service
philo1, ge(ssp)
socsci10, ge(ssp)
stat104, core
bio1, ge(mst)
econ11, service
lit1, ge(ah)
math121, core
stat121, core
stat138, core
