2016-2017,1,Lit 1,Iloilo City,Lec,GCEB35,8,M Th,10:00-11:30,3,35,"LEGISLADOR,M",ge(ah)
2016-2017,1,Lit 1,Miagao,Lec,R106,5,M Th,11:30-1:00,3,39,"ALVAREZ-TOSALEM,S",ge(ah)
2016-2017,2,Lit 1,Iloilo City,Lec,HB 2,1,T F,11:30-1:00,3,35,"BARCELONA,A",ge(ah)
2016-2017,2,Lit 1,Miagao,Lec,AVR,2,M Th,2:30-4:00,3,31,"CEVALLOS,M",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R201,8,M Th,10:00-11:30,3,39,"ALVAREZ-TOSALEM,S",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R201,1,M Th,11:30-1:00,3,37,"ALVAREZ-TOSALEM,S",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R110,2,M Th,1:00-2:30,3,39,"CEVALLOS,M",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R110,5,M Th,8:30-10:00,3,36,"DERIADA-MANAOG,D",ge(ah)
2016-2017,2,Lit 2,Iloilo City,Lec,GCEB35,6,T F,1:00-2:30,3,35,"GONZALES,A",ge(ah)
2016-2017,2,Lit 2,Iloilo City,Lec,GCEB35,7,T F,2:30-4:00,3,35,"GONZALES,A",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R110,4,T F,2:30-4:00,3,40,"CEVALLOS,M",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R107,9,M Th,2:30-4:00,3,37,"DERIADA-MANAOG,D",ge(ah)
2016-2017,2,Lit 2,Miagao,Lec,R110,3,T F,11:30-1:00,3,39,"CEVALLOS,M",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,AVR,5,M Th,8:30-10:00,3,37,"CEVALLOS,M",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,R201,6,M Th,2:30-4:00,3,35,"VILLAREAL,M",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,R106,9,T F,1:00-2:30,3,39,"LEGISLADOR,M",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,R201,1,W,8:00-11:00,3,38,"MARTE,A",ge(ah)
2016-2017,1,Lit 3,Iloilo City,Lec,GCEB35,7,T F,8:30-10:00,3,35,"GONZALES,A",ge(ah)
2016-2017,1,Lit 3,Iloilo City,Lec,GCEB35,8,T F,10:00-11:30,3,35,"GONZALES,A",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,R201,2,W,1:00-4:00,3,37,"MARTE,A",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,AVR,4,M Th,10:00-11:30,3,39,"CEVALLOS,M",ge(ah)
2016-2017,1,Lit 3,Miagao,Lec,AVR,3,M Th,1:00-2:30,3,35,"VILLAREAL,M",ge(ah)
2016-2017,2,Lit 3,Miagao,Lec,R106,2,T F,10:00-11:30,3,35,"CORDA,R",ge(ah)
2016-2017,2,Lit 3,Miagao,Lec,R106,4,T F,2:30-4:00,3,38,"CORDA,R",ge(ah)
2016-2017,2,Lit 3,Miagao,Lec,R106,1,M Th,10:00-11:30,3,38,"VILLAREAL,M",ge(ah)
2016-2017,2,Lit 3,Miagao,Lec,R110,5,M Th,11:30-1:00,3,35,"VILLAREAL,M",ge(ah)
