natsci1,0
cms103,0
socsci26,0
ba129,0
cd135,0
cd110,0
psych199.2,0
ft110,0
ba170,0
cmsc57,0
psych171,0
econ106,0
stat111,0
bio120.1,0
che140,0
mgt186,0
pe2,0
cms154,0
cmsc126,0
speech136,0
pe3,0
ba161,0
che171,0
filipino11b,0
polsci180,0
chem181,0
fish308,0
socsci101,0
fish159,0
stat130,0
math101,0
cd101,0
chem182,0
mgt187,0
physics21,0
peandhealth11a,0
cmsc123,0
lit121,0
psych118,0
econ199.2,0
cmsc128,0
es11,0
bio241,0
cmsc197,2
fish102,0
chem40,0
psych195,0
lit141,0
econ191,1
mgt197,0
psych185,0
bio150,0
ph166,0
che190,0
psych101,2
psych162,0
econ153,0
stat197,0
fabm11,0
ft15,0
stat132,0
fish167,0
math19,0
cd168,0
filipino11a,0
fish111,0
zoo102,0
bio180,0
mcb204,0
physics75,0
ba179,0
socsci199.1,0
lit160,0
chem189,0
hist168,0
econ177,1
stat138,0
che135,0
hist101,0
math140,0
psych199.1,0
math100,0
che31,0
bio120,0
chem34,0
fish221,0
fish225,0
cd180,0
aquasci1,0
bot182,0
fish315,0
polsci14,0
aquasci16,1
ba117,0
bot111,0
cms125,0
fish148,0
hist151,0
it102,0
cd129,0
p.e.11b,0
polsci193,0
fish244,0
fish109,0
cms134,0
polsci192,0
ft141,0
cd199.1,0
cms100,0
hist116,0
lit199.1,0
ft131,0
pm113,0
computerstudies11,0
bio260,0
pi100,2
fil12,0
chem153,0
chem28.1,0
mathematics11d,0
mgt104,0
mgt161,0
polsci150,0
che136,0
math114,0
cms121,0
cms11,0
chem116,0
socio145,0
hist112,0
cmsc131,0
cms111,0
fish101,0
ph101,0
physics51.1,0
fish155,0
zoo111,0
