ft123, Food Packaging Technology, 2.0
ft154, Food Enterprise Management, 3.0
ft160, Computer Applications in Food Technology, 3.0
ft175, Food Safety, 2.0
ft180, Post harvest Technology of Fruits and Vegetables, 3.0
